Time,HeartRate
0,72.08
1,72.09
2,72.61
3,72.94
4,73.58
5,73.86
6,74.27
7,74.04
8,74.45
9,74.39
10,74.63
11,74.89
12,74.65
13,74.75
14,74.99
15,74.86
16,74.57
17,74.67
18,74.67
19,74.03
20,74.34
21,74.11
22,73.73
23,73.46
24,73.8
25,73.29
26,73.03
27,72.95
28,73.33
29,73.14
30,73.24
31,73.19
32,73.09
33,73.39
34,73.08
35,73.24
36,73.46
37,73.4
38,73.59
39,73.46
40,73.56
41,73.17
42,73.26
43,73.24
44,73.04
45,73.01
46,72.79
47,72.71
48,72.71
49,72.3
50,72.03
51,71.64
52,71.36
53,71.43
54,70.92
55,70.56
56,69.96
57,69.98
58,69.33
59,69.18
60,69.3
61,68.87
62,68.64
63,68.59
64,68.59
65,68.5
66,68.18
67,68.11
68,68.37
69,68.47
70,68.61
71,69.25
72,69.45
73,69.37
74,69.85
75,69.98
76,70.58
77,70.59
78,70.75
79,71.01
80,71.45
81,71.5
82,71.9
83,72.26
84,72.11
85,72.12
86,72.68
87,72.45
88,72.24
89,72.23
90,72.26
91,72.55
92,72.62
93,72.37
94,72.12
95,72.29
96,72.64
97,72.36
98,72.64
99,72.61
100,72.17
101,72.68
102,72.77
103,72.82
104,72.82
105,73.23
106,73.11
107,73.52
108,73.76
109,74.3
110,74.48
111,74.34
112,74.7
113,74.71
114,75.32
115,75.44
116,75.21
117,75.48
118,75.5
119,75.21
120,75.52
121,75.29
122,75.28
123,74.95
124,74.4
125,74.33
126,73.85
127,74.08
128,73.7
129,73.32
130,72.64
131,72.12
132,72.25
133,71.94
134,71.1
135,71.03
136,70.5
137,70.66
138,70.45
139,69.89
140,69.96
141,69.9
142,69.66
143,70.0
144,69.73
145,69.63
146,69.89
147,70.08
148,69.85
149,70.02
150,70.53
151,70.43
152,70.4
153,70.53
154,70.37
155,70.49
156,70.59
157,70.75
158,70.53
159,70.49
160,70.35
161,70.62
162,70.29
163,70.6
164,70.46
165,69.88
166,69.87
167,70.03
168,69.67
169,69.55
170,69.98
171,69.74
172,69.69
173,69.93
174,70.02
175,69.77
176,69.87
177,70.27
178,70.49
179,70.78
180,71.24
181,71.52
182,72.05
183,71.88
184,72.43
185,72.76
186,73.44
187,73.42
188,73.72
189,74.19
190,74.46
191,74.63
192,74.82
193,75.4
194,75.24
195,75.57
196,75.42
197,75.12
198,75.64
199,75.46
200,75.42
201,75.24
202,75.01
203,74.4
204,74.38
205,73.99
206,73.87
207,73.44
208,73.42
209,73.57
210,72.95
211,73.1
212,72.75
213,72.61
214,72.84
215,72.79
216,72.48
217,72.56
218,72.21
219,72.31
220,72.74
221,72.53
222,72.55
223,72.7
224,72.31
225,72.64
226,72.58
227,72.76
228,72.3
229,72.7
230,72.07
231,71.99
232,72.07
233,71.93
234,71.44
235,71.13
236,71.33
237,70.66
238,70.58
239,70.3
240,69.89
241,69.7
242,69.39
243,69.39
244,68.72
245,68.84
246,68.39
247,68.37
248,68.46
249,68.2
250,68.23
251,68.55
252,68.25
253,68.64
254,69.15
255,69.38
256,69.09
257,69.46
258,69.8
259,70.52
260,70.82
261,71.16
262,71.18
263,71.37
264,72.08
265,72.29
266,72.49
267,72.95
268,72.94
269,72.72
270,73.34
271,73.13
272,73.41
273,73.61
274,73.14
275,73.12
276,73.08
277,73.31
278,73.09
279,73.23
280,73.24
281,72.89
282,73.11
283,72.86
284,72.99
285,73.26
286,73.26
287,72.87
288,73.16
289,73.18
290,73.14
291,73.75
292,73.83
293,73.77
294,74.23
295,74.29
296,74.38
297,74.29
298,74.46
299,75.06
300,75.16
