participant_id,event,trial_index,environment,biofeedback,scene,mood,calm,attention,timestamp
P_20260828_143025,PreMood,0,Grey,Synchronous,GreyScene,0.7809525,0.3714288,0,2026-08-28 14:30:36.641
P_20260828_143025,EnvironmentStart,0,Rainforest,Asynchronous,RainforestScene,,,,2026-08-28 14:30:36.645
P_20260828_143025,EnvironmentEnd,0,Rainforest,Asynchronous,RainforestScene,,,,2026-08-28 14:30:55.840
P_20260828_143025,PostMood,0,Rainforest,Asynchronous,RainforestScene,0.904762,0.7619049,0.7238096,2026-08-28 14:31:06.113
P_20260828_143025,PreMood,1,Rainforest,Asynchronous,RainforestScene,0.8000002,0.5857145,0,2026-08-28 14:31:10.485
P_20260828_143025,EnvironmentStart,1,Urban,Asynchronous,UrbanScene,,,,2026-08-28 14:31:10.488
P_20260828_143025,EnvironmentEnd,1,Urban,Asynchronous,UrbanScene,,,,2026-08-28 14:31:28.794
P_20260828_143025,PostMood,1,Urban,Asynchronous,UrbanScene,0.5904763,0.6666667,0.5047621,2026-08-28 14:31:34.769
P_20260828_143025,PreMood,2,Urban,Asynchronous,UrbanScene,0.3666667,0.8619049,0,2026-08-28 14:31:40.816
P_20260828_143025,EnvironmentStart,2,Rainforest,Synchronous,RainforestScene,,,,2026-08-28 14:31:40.819
