timestamp,unix_s,bpm
2026-09-16T13:31:26+10:00,1789529486.395,75
2026-09-16T13:31:27+10:00,1789529487.415,75
2026-09-16T13:31:28+10:00,1789529488.374,78
2026-09-16T13:31:29+10:00,1789529489.394,80
2026-09-16T13:31:30+10:00,1789529490.474,80
2026-09-16T13:31:31+10:00,1789529491.434,80
2026-09-16T13:31:32+10:00,1789529492.394,76
2026-09-16T13:31:33+10:00,1789529493.474,76
2026-09-16T13:31:34+10:00,1789529494.434,74
2026-09-16T13:31:35+10:00,1789529495.394,71
2026-09-16T13:31:36+10:00,1789529496.715,70
2026-09-16T13:31:37+10:00,1789529497.435,70
